country,pollutant_name,prev_aqi,aqi_category,count
UK,PM2.5,Good,Fair,858
UK,PM2.5,Fair,Moderate,2504
UK,PM2.5,Moderate,Moderate,3080
UK,PM2.5,Moderate,Poor,248
UK,PM2.5,Poor,Moderate,268
UK,PM2.5,Poor,Fair,54
UK,PM2.5,Fair,Poor,73
UK,PM2.5,Moderate,Good,317
UK,PM2.5,Poor,Poor,224
UK,PM2.5,Moderate,Very Poor,17
UK,PM2.5,Very Poor,Fair,5
UK,PM2.5,Good,Poor,5
UK,PM2.5,Poor,Very Poor,23
UK,PM2.5,Very Poor,Poor,23
UK,PM2.5,Very Poor,Moderate,14
UK,PM2.5,Poor,Good,4
UK,PM2.5,Very Poor,Very Poor,17
UK,PM2.5,Fair,Very Poor,2
UK,PM2.5,Good,Very Poor,1
UK,PM2.5,Very Poor,Extremely Poor,2
UK,PM2.5,Extremely Poor,Moderate,1
UK,PM2.5,Extremely Poor,Very Poor,1
